Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         192.168.1.11    YES manual up                    up      
GigabitEthernet0/1         unassigned      YES NVRAM  up                    up      
GigabitEthernet0/1.13      155.1.13.1      YES NVRAM  up                    up      
GigabitEthernet0/1.100     169.254.100.1   YES NVRAM  up                    up      
GigabitEthernet0/1.146     155.1.146.1     YES NVRAM  up                    up      
GigabitEthernet0/2         unassigned      YES NVRAM  up                    up      
GigabitEthernet0/3         unassigned      YES NVRAM  up                    up      
Loopback0                  150.1.1.1       YES NVRAM  up                    up      
Tunnel0                    155.1.0.1       YES NVRAM  up                    up      
